91046;156;74;51;105
91101;20460;33.7;9926;10534
91103;27480;35;13481;13999
91104;36751;38.2;17874;18877
91105;11254;49;5432;5822
91106;24229;34.6;11993;12236
91107;32940;41.2;15940;17000
91108;13361;45.4;6410;6951
91201;22781;40.4;11123;11658
91202;22830;41.7;10805;12025
91203;13220;38.9;6279;6941
91204;16032;38.1;7699;8333
91205;37810;39.1;18084;19726
91206;33065;42.6;15544;17521
91207;10506;45.5;4924;5582
91208;16245;43.6;7756;8489
91210;328;33.9;162;166
91214;30356;42.5;14642;15714
91301;25488;42.7;12511;12977
91302;25709;42.4;12487;13222
91303;26855;31.1;13907;12948
91304;50231;35.9;24827;25404
91306;45061;35.4;22679;22382
91307;24474;43.4;11939;12535
91311;36557;42.7;17838;18719
91316;26898;42.1;12717;14181
91321;34882;33.3;17402;17480
91324;27669;36.5;13545;14124
91325;32417;35.4;15819;16598
91326;33708;42.7;16394;17314
91330;2702;19.6;1103;1599
91331;103689;29.5;52358;51331
91335;74363;35.5;36596;37767
91340;34188;30.1;17130;17058
91342;91725;31.9;45786;45939
91343;60254;32.3;30145;30109
91344;51747;41;25212;26535
91345;18496;35.7;9110;9386
91350;33348;36.4;16270;17078
91351;32362;33.9;16086;16276
91352;47807;32.1;23980;23827
91354;28722;36.4;14046;14676
91355;32605;38.8;15773;16832
91356;29458;41.7;14216;15242
91361;20438;47.6;9854;10584
91362;36045;42.6;17562;18483
91364;25851;44;12739;13112
91367;39499;41;19171;20328
91377;13811;41.7;6641;7170
91381;20158;36;9852;10306
91384;29855;32.5;18503;11352
91387;40328;33;20106;20222
91390;19786;40.1;9911;9875
91401;39285;36;19613;19672
91402;69817;30.1;35095;34722
91403;23484;39.4;11277;12207
91405;51145;32.6;25498;25647
91406;51558;33.6;25956;25602
91411;24628;33.8;12495;12133
91423;30991;39.2;14789;16202
91436;14372;46.5;6890;7482
91501;20849;38.3;10040;10809
91502;11371;36.4;5402;5969
91504;24939;38.6;12006;12933
91505;30778;38.9;15121;15657
91506;18904;40.9;9115;9789
91601;37180;32.9;18932;18248
91602;17473;38;8722;8751
91604;29034;40.2;14271;14763
91605;56343;31.9;28417;27926
91606;44958;34.3;22376;22582
91607;27927;38.2;13635;14292
91608;0;0;0;0
91702;59705;29.4;29486;30219
91706;76571;30.5;37969;38602
91709;74796;36.6;36954;37842
91710;80358;33;42283;38075
91711;35705;38.6;16777;18928
91722;34409;34;16859;17550
91723;18275;35;8783;9492
91724;26184;37.9;12780;13404
91731;29591;32.9;14888;14703
91732;61386;31.4;30755;30631
91733;43896;30.5;22191;21705
91740;25356;38.5;12269;13087
91741;25824;41.8;12498;13326
91744;85040;30.9;42564;42476
91745;54013;40.1;26287;27726
91746;30485;32.4;15116;15369
91748;45406;39.8;22368;23038
91750;33249;42.6;15881;17368
91754;32742;42.9;15620;17122
91755;27496;43.4;13271;14225
91759;476;47.2;239;237
91763;36375;30.8;18099;18276
91765;46457;40.8;22702;23755
91766;71599;28.7;36111;35488
91767;48068;31.2;23685;24383
91768;34537;27.3;17509;17028
91770;62097;38.3;30521;31576
91773;33119;42.5;15737;17382
91775;23988;41.4;11448;12540
91776;38475;39;18751;19724
91780;34332;41.1;16438;17894
91784;25938;44.5;12729;13209
91786;51165;33;24516;26649
91789;43079;42.8;20988;22091
91790;44907;35.2;21721;23186
91791;32414;38;15512;16902
91792;30854;35.3;14950;15904
91801;52735;39.1;24833;27902
91803;30322;39.6;14486;15836
92301;32725;25.6;16857;15868
92371;16763;37.9;8565;8198
92372;6220;41.8;3136;3084
92397;4894;44.1;2522;2372
92821;35533;38.7;17338;18195
92823;3613;38.6;1757;1856
92833;51767;36;25643;26124
93040;2031;29.3;1052;979
93063;54366;39;26592;27774
93225;5077;44;2585;2492
93243;1699;40.9;884;815
93252;4176;38.4;3301;875
93510;7993;45.2;4086;3907
93523;3074;27;1531;1543
93532;2932;41.7;1642;1290
93534;39341;31.1;18601;20740
93535;72046;28.3;34879;37167
93536;70918;34.4;37804;33114
93543;13033;32.9;6695;6338
93544;1259;52.4;689;570
93550;74929;27.5;36414;38515
93551;50798;37;25056;25742
93552;38158;28.4;18711;19447
93553;2138;43.3;1121;1017
93560;18910;32.4;9491;9419
93563;388;44.5;263;125
93591;7285;30.9;3653;3632
